+1 | 1:0.262677140977 2:0.0 3:0.0 4:0.00750351149553 11:0.0 13:0.0 14:1.0 21:0 22:2.4826373244 
+1 | 1:0.161477447124 2:0.0 3:0.0 4:0.00256523989059 11:0.0 13:0.0 14:1.0 21:0 22:-0.362272059422 
+1 | 1:0.0 2:1.0 3:0.0 4:0.334664005323 11:0.0 13:0.0 14:0.339933993399 21:1 22:3.35800433298 
-1 | 1:0.0 2:0.0 3:0.917932572101 4:0.00202656621343 11:0.0 13:0.0 14:0.00990099009901 21:0 22:7.31037863393 
-1 | 1:0.0 2:0.0 3:0.0 4:0.00199600798403 11:0.732926363569 13:0.0 14:0.0134033811544 21:0 22:9.45044479742 
-1 | 1:0.0 2:0.0 3:0.0 4:0.00199600798403 11:0.0 13:0.719728479896 14:0.0717527109854 21:0 22:1.0398061694 
-1 | 1:0.0 2:0.874992979644 3:0.0 4:0.00342710804805 11:0.0 13:0.0 14:0.017353348238 21:0 22:3.35800433298 
+1 | 1:0.0 2:0.952941176471 3:0.0 4:0.334664005323 11:0.0 13:0.0 14:0.136633663366 21:0 22:2.26961678071 
+1 | 1:0.227733565477 2:0.0 3:0.739828042082 4:0.00350300929895 11:0.0 13:0.0 14:0.00990099009901 21:0 22:0.278390575441 
-1 | 1:0.0 2:0.907584155306 3:0.0 4:0.0026029366204 11:0.0 13:0.0 14:0.00990099009901 21:0 22:1.79985971493 
+1 | 1:0.0 2:1.0 3:0.0 4:0.347332002661 11:0.0 13:0.0 14:0.6699669967 21:1 22:3.35800433298 
-1 | 1:0.0 2:0.0 3:0.958308278553 4:0.0147377676281 11:0.0 13:0.0 14:0.339933993399 21:0 22:7.4547270176 
+1 | 1:0.223297732156 2:0.0 3:0.0 4:0.00273714175025 11:0.0 13:0.0 14:0.00990099009901 21:0 22:0.254775777599 
-1 | 1:0.0 2:0.916046768314 3:0.0 4:0.00236586867673 11:0.0 13:0.0 14:0.00990099009901 21:0 22:3.16995210147 
-1 | 1:0.0 2:0.0 3:0.715509654438 4:0.0120833601614 11:0.0 13:0.0 14:0.00990099009901 21:0 22:2.79347453024 
-1 | 1:0.0733292051042 2:0.0 3:0.0 4:0.00202223492158 11:0.0 13:0.0 14:0.0143525980505 21:0 22:0.273370626658 
-1 | 1:0.0 2:0.0 3:0.169637785936 4:0.00284582350451 11:0.0 13:0.0 14:0.0143525980505 21:0 22:2.83321334406 
